654083,Melbourne,18/01/2014,MC Henriques,Docklands Stadium,0,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Sydney Sixers,runs,2,N,NA,DB Mealey,AP Ward
654085,Melbourne,21/01/2014,LJ Wright,Melbourne Cricket Ground,0,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Melbourne Stars,wickets,5,N,NA,IH Lock,SJ Nogajski
654087,Adelaide,22/01/2014,DJ Bravo,Adelaide Oval,0,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Melbourne Renegades,runs,1,N,NA,DB Mealey,AP Ward
654089,Hobart,23/01/2014,BR Dunk,Bellerive Oval,0,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,bat,Hobart Hurricanes,runs,40,N,NA,GA Abood,IH Lock
654091,Sydney,25/01/2014,NM Lyon,Stadium Australia,0,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,wickets,8,N,NA,AJ Barrow,DB Mealey
654093,Melbourne,27/01/2014,JW Hastings,Melbourne Cricket Ground,0,Melbourne Stars,Perth Scorchers,Melbourne Stars,bat,Melbourne Stars,runs,20,N,NA,GA Abood,GC Joshua
654095,Melbourne,04/02/2014,CJ Boyce,Melbourne Cricket Ground,0,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,bat,Hobart Hurricanes,wickets,7,N,NA,GA Abood,AP Ward
654097,Sydney,05/02/2014,CJ Simmons,Sydney Cricket Ground,0,Sydney Sixers,Perth Scorchers,Sydney Sixers,field,Perth Scorchers,runs,5,N,D/L,MD Martell,P Wilson
654099,Perth,07/02/2014,GB Hogg,Western Australia Cricket Association Ground,0,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,bat,Perth Scorchers,runs,39,N,NA,MD Martell,JD Ward
756735,Adelaide,18/12/2014,TP Ludeman,Adelaide Oval,0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,bat,Adelaide Strikers,wickets,8,N,NA,MW Graham-Smith,JD Ward
756737,Sydney,19/12/2014,NJ Maddinson,Sydney Cricket Ground,0,Sydney Sixers,Melbourne Renegades,Sydney Sixers,field,Sydney Sixers,wickets,8,N,NA,AJ Barrow,DB Mealey
756739,Melbourne,20/12/2014,DJG Sammy,Melbourne Cricket Ground,0,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Hobart Hurricanes,runs,52,N,NA,GC Joshua,MD Martell
756741,Sydney,21/12/2014,JH Kallis,Stadium Australia,0,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Sydney Thunder,runs,56,N,NA,DB Mealey,JD Ward
756743,Perth,22/12/2014,JP Behrendorff,Western Australia Cricket Association Ground,0,Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Adelaide Strikers,wickets,1,N,NA,AJ Barrow,GJ Davidson
756745,Hobart,23/12/2014,MC Henriques,Bellerive Oval,0,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,bat,Sydney Sixers,wickets,7,N,NA,MW Graham-Smith,P Wilson
756747,Perth,26/12/2014,M Klinger,Western Australia Cricket Association Ground,0,Perth Scorchers,Melbourne Renegades,Perth Scorchers,bat,Perth Scorchers,runs,35,N,NA,GA Abood,MD Martell
756749,Sydney,27/12/2014,AC Blizzard,Stadium Australia,0,Sydney Thunder,Sydney Sixers,Sydney Thunder,field,Sydney Sixers,runs,16,N,NA,SJ Nogajski,P Wilson
756751,Brisbane,28/12/2014,RM Duffield,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Brisbane Heat,runs,1,N,NA,MW Graham-Smith,DB Mealey
756753,Sydney,29/12/2014,AJ Tye,Sydney Cricket Ground,0,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,runs,36,N,NA,SAJ Craig,SJ Nogajski
756755,Melbourne,30/12/2014,JL Pattinson,Docklands Stadium,0,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,field,Melbourne Renegades,wickets,8,N,NA,AJ Barrow,RJ Tucker
756757,Adelaide,31/12/2014,TP Ludeman,Adelaide Oval,0,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Strikers,wickets,8,N,NA,GJ Davidson,MD Martell
756759,Perth,01/01/2015,JH Kallis,Western Australia Cricket Association Ground,0,Perth Scorchers,Sydney Thunder,Sydney Thunder,bat,Sydney Thunder,runs,20,N,NA,SAJ Craig,MW Graham-Smith
756761,Hobart,02/01/2015,TD Paine,Bellerive Oval,0,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Hobart Hurricanes,wickets,6,N,NA,AJ Barrow,JD Ward
756763,Melbourne,03/01/2015,MA Beer,Docklands Stadium,0,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Melbourne Stars,runs,112,N,NA,GC Joshua,P Wilson
756765,Brisbane,04/01/2015,TM Head,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers,wickets,5,N,NA,AJ Barrow,JD Ward
756767,Melbourne,05/01/2015,JP Faulkner,Melbourne Cricket Ground,0,Melbourne Stars,Sydney Sixers,Melbourne Stars,field,Melbourne Stars,tie,NA,Y,NA,SJ Nogajski,P Wilson
756769,Adelaide,06/01/2015,GB Hogg,Adelaide Oval,0,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,field,Perth Scorchers,runs,18,N,NA,GC Joshua,DB Mealey
756773,Perth,08/01/2015,MA Carberry,Western Australia Cricket Association Ground,0,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Perth Scorchers,wickets,8,N,NA,MD Martell,SJ Nogajski
756775,Sydney,22/01/2015,JC Silk,Sydney Cricket Ground,0,Sydney Sixers,Sydney Thunder,Sydney Sixers,field,Sydney Sixers,wickets,4,N,NA,AJ Barrow,GC Joshua
756777,Melbourne,10/01/2015,GJ Maxwell,Melbourne Cricket Ground,0,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,bat,Melbourne Stars,wickets,3,N,NA,SAJ Craig,MD Martell
756779,Hobart,11/01/2015,JP Behrendorff,Bellerive Oval,0,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,runs,18,N,NA,AJ Barrow,MW Graham-Smith
756781,Brisbane,11/01/2015,DE Bollinger,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers,wickets,6,N,NA,DB Mealey,P Wilson
756783,Adelaide,12/01/2015,NA,Adelaide Oval,0,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,NA,NA,NA,NA,NA,SD Fry,BNJ Oxenford
756785,Melbourne,13/01/2015,Shakib Al Hasan,Docklands Stadium,0,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,field,Melbourne Renegades,wickets,5,N,NA,GC Joshua,JD Ward
756787,Sydney,14/01/2015,J Botha,Sydney Cricket Ground,0,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,runs,23,N,NA,MW Graham-Smith,SJ Nogajski
756789,Hobart,07/01/2015,BA Stokes,Bellerive Oval,0,Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,field,Melbourne Renegades,runs,37,N,NA,SAJ Craig,JD Ward
756791,Sydney,17/01/2015,KP Pietersen,Sydney Showground Stadium,0,Sydney Thunder,Melbourne Stars,Melbourne Stars,field,Melbourne Stars,wickets,8,N,NA,DB Mealey,RJ Tucker
756793,Melbourne,19/01/2015,TM Head,Docklands Stadium,0,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Strikers,runs,22,N,NA,GA Abood,GJ Davidson
756795,Melbourne,21/01/2015,PSP Handscomb,Melbourne Cricket Ground,0,Melbourne Stars,Perth Scorchers,Perth Scorchers,bat,Melbourne Stars,wickets,3,N,NA,SAJ Craig,GJ Davidson
756797,Brisbane,15/01/2015,CA Lynn,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Brisbane Heat,runs,18,N,NA,GA Abood,P Wilson
756799,Adelaide,24/01/2015,NJ Maddinson,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,runs,87,N,NA,GA Abood,MD Martell
756801,Perth,25/01/2015,AJ Tye,Western Australia Cricket Association Ground,0,Perth Scorchers,Melbourne Stars,Perth Scorchers,bat,Perth Scorchers,runs,18,N,NA,GC Joshua,SJ Nogajski
756803,Canberra,28/01/2015,SE Marsh,Manuka Oval,0,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Perth Scorchers,wickets,4,N,NA,MD Martell,P Wilson
897697,Adelaide,18/12/2015,AI Ross,Adelaide Oval,0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers,runs,19,N,NA,GA Abood,MW Graham-Smith
897699,Brisbane,19/12/2015,AJ Finch,"Brisbane Cricket Ground, Woolloongabba",0,Brisbane Heat,Melbourne Renegades,Brisbane Heat,bat,Melbourne Renegades,wickets,7,N,NA,AJ Barrow,SJ Nogajski
897701,Sydney,20/12/2015,BJ Haddin,Sydney Cricket Ground,0,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,bat,Sydney Sixers,runs,95,N,NA,SD Fry,PJ Gillespie
